subject,used,n_pos_edges,mean_w,max_w,note
HCD1129235,True,9004.0,0.02162706895596457,1.1026911735534668,
HCD1553551,True,8222.0,0.024220331126150692,0.9788304567337036,
HCD0183438,True,10425.0,0.021648612883357888,1.0367227792739868,
HCD2133433,True,11673.0,0.015001140635302094,0.8629301190376282,
HCD1411632,True,12286.0,0.023924058752570983,0.9782285094261169,
HCD1380849,True,11622.0,0.028950037120837373,0.9907379150390625,
HCD1880465,True,12529.0,0.028082293325211113,1.115241527557373,
HCD2856170,True,10024.0,0.02427201792815581,1.03294837474823,
HCD2000111,True,8690.0,0.026815903760159965,0.8465043306350708,
HCD1103419,True,11557.0,0.02070441349502289,0.9253218173980713,
HCD1396662,True,11689.0,0.0205775590711742,0.9064530730247498,
HCD2879788,True,8430.0,0.01851594440977612,0.845853328704834,
HCD1282142,True,10585.0,0.016878200005113073,0.8744142055511475,
HCD1410933,True,10310.0,0.022592855226130106,1.0034726858139038,
HCD2594772,False,,,,no_file_or_bad_shape
HCD0185644,True,9788.0,0.029942442396941583,1.0318197011947632,
HCD2229547,True,11538.0,0.029260379486594913,1.2399653196334839,
HCD0143426,True,10145.0,0.02080340807413387,0.8873950839042664,
HCD0904650,True,9620.0,0.02665181245727755,0.9754685163497925,
HCD0022919,True,9694.0,0.020999993858802003,0.8627806305885315,
HCD1527045,True,8981.0,0.02291621448608931,0.9248083829879761,
HCD1778474,False,,,,no_file_or_bad_shape
HCD0678970,True,14214.0,0.021899170601916658,0.9477828741073608,
HCD1798985,True,12197.0,0.01845005397794642,0.9372659921646118,
HCD2748268,False,,,,no_file_or_bad_shape
HCD0541539,True,10670.0,0.021896431801507552,0.956061840057373,
HCD1881164,True,8684.0,0.02952210204683325,1.032715916633606,
HCD0129937,True,12382.0,0.022904872448088556,1.0292866230010986,
HCD1139541,True,11910.0,0.022661053587360366,1.0321240425109863,
HCD2342745,True,11029.0,0.01805974648048119,0.9138540625572205,
HCD1856468,True,14305.0,0.020593580600542876,0.9412296414375305,
HCD1880162,True,9296.0,0.03253238834415494,0.9274505972862244,
